id,name,bundle_id,sku,locale,app_store_url
6761822827,Dutch IQ: AI Dictionary,ai.moruk.dutchiq,ai.moruk.dutchiq,en-GB,
6755795135,Cat Doctor,ai.moruk.catdoctor,ai.moruk.catdoctor,en-US,
6749237683,Breathe Easy: Breath Exercise,ai.moruk.breathe-easy,ai.moruk.breathe-easy,en-US,
6756706325,Coin ID: AI Scanner & Value,ai.moruk.coinidentifier,EX1766047281139,en-US,
6756927547,bird identifier - AI Bird ID,ai.moruk.birdidentifier,EX1766506634846,en-US,
6756927801,Baby Glimpse: AI Baby Maker,ai.moruk.babyglimpse,EX1766507605994,en-US,
6761391467,OpenPod,ai.moruk.openpod,EX1774901375185,en-US,
6748545235,Plant Doctor: AI Disease ID,ai.moruk.plantdoctor,ai.moruk.plantdoctor,en-US,
6761392052,Crashcasts: Learn Simply,ai.moruk.crashcasts,EX1774902702243,en-US,
6756936386,Numy: Natural Calculator,ai.moruk.numy,EX1766511992915,en-US,
6761448523,Terminal Detective,ai.moruk.terminaldetective,EX1775013427837,en-US,
6748658370,TextPro AI Word & Char Counter,ai.moruk.textpro,ai.moruk.textpro,en-US,
6757656777,Araba Değer - Fiyat Hesapla,ai.moruk.carvalue,ai.moruk.carvalue,tr,
6756707877,Stone Identifier: Rock ID,ai.moruk.stoneidentifier,EX1766050012272,en-US,
6747261524,Rizzman - AI Wingman,ai.rizzman,app.rizzman,en-US,
6762596671,Medicine AI Dictionary,ai.moruk.medicaldictionary,al.moruk.medicaldictionary,en-US,
6756927892,Insect Identifier: AI Bug ID,ai.moruk.insectidentifier,EX1766508542238,en-US,
6761737020,Table Tennis IQ: AI Dictionary,ai.moruk.paddlepro,ai.moruk.paddlepro,en-US,
6756709574,Finance IQ: AI Dictionary,ai.moruk.financedictionary,ai.moruk.financedictionary,en-US,
6761450030,Etymology — Word Origins,ai.moruk.etymology,EX1775015843735,en-US,https://apps.apple.com/app/etymology-word-origins/id6761450030
6761450312,Since Then: Quit Tracker,ai.moruk.sincethen,EX1775017390308,en-US,
6761450890,Froggy Flex,ai.moruk.froggy-flex,EX1775018282744,en-US,
6762099125,Mokum Live,ai.moruk.mokum,ai.moruk.mokum,en-US,
6761835897,Voice Gender,app.moruk.voicegender,EX1775654197564,en-US,
6762101715,Donezo: AI ADHD Task Planner,ai.moruk.todolist,ai.moruk.todolist,en-US,
6761731796,Touch Typing,ai.moruk.touchtyping,ai.moruk.touchtyping,en-US,
6761448270,VimNotes — Modal Editor,ai.moruk.vimnotes,EX1775012584537,en-US,
6761450314,Habit Tracker — Daily Streaks,com.morukhq.habit-tracker,EX1775017391373,en-US,
6756709612,HIIT: Interval Timer,ai.moruk.intervaltimer,ai.moruk.intervaltimer,en-US,
6748837227,Minday: Daily Meditation,ai.moruk.minday,ai.moruk.minday,en-US
