project_name,production_url,updated,node_version
rizzman.ai,https://rzzr.co,23m,22.x
moruk.ai,https://moruk.ai,29m,22.x
moruk.link,https://plam.pro,4d,22.x
bird-identifier.moruk.ai,--,8d,24.x
detective-moruk-app,https://detective.moruk.app,9d,24.x
vim-moruk-app,https://vim.moruk.app,9d,24.x
todo-moruk-app,https://todo.moruk.app,9d,24.x
palmreader.pro,https://palmreader.pro,9d,22.x
crashcasts.com,https://crashcasts.com,9d,22.x
blog.plantdoctor.app,https://blog.plantdoctor.app,9d,22.x
mokum.live,https://mokum.live,9d,22.x
twinflame-pro,https://twinflame.pro,9d,22.x
stonelens.app,https://stonelens.app,9d,24.x
speakdutch.app,https://speakdutch.app,9d,24.x
paddlepro.app,https://paddlepro.app,9d,24.x
kacpara.app,https://kacpara.app,9d,24.x
atomichabit.app,https://atomichabit.app,9d,24.x
bugscout.app,https://bugscout.app,9d,24.x
coinlens.app,https://coinlens.app,9d,24.x
timerlab.app,https://timerlab.app,9d,24.x
finpedia.app,https://finpedia.app,9d,24.x
birdlens.app,https://birdlens.app,9d,24.x
numy.app,https://numy.app,9d,24.x
easymeditate.app,https://minday.pro,11d,22.x
protext.app,https://protext.app,11d,22.x
catdoctor.app,https://catdoctor.app,11d,22.x
openpod.app,https://openpod.co,11d,24.x
easybreath.app-web,https://easybreathapp-web.vercel.app,11d,24.x
plantdoctor.app-web,https://plantdoctorapp-web.vercel.app,11d,24.x
froggy-moruk-app,https://froggy.moruk.app,11d,24.x
etymology-moruk-app,https://etymology.moruk.app,11d,24.x
since-then,https://since-then-beta.vercel.app,11d,24.x
touchy-moruk-app,https://touchy.moruk.app,11d,24.x
analytics-moruk-ai,https://analytics-moruk-ai.vercel.app,12d,24.x
backoffice,https://moruk.dev,12d,22.x
petdoctor-moruk-app,https://petdoctor-moruk-app.vercel.app,13d,24.x
since-moruk-app,https://since-moruk-app.vercel.app,13d,24.x
theinterval.app,https://theinterval.app,22d,22.x
redesigned.app,https://redesigned.app,22d,24.x
brry.app,https://brry.app,22d,24.x
baby-glimpse,https://babyglimpse.app,22d,24.x
breathe-easy,https://easybreath.app,23d,24.x
plantdoctor.app,https://plantdoctor.app,23d,22.x
news.moruk.ai,https://news.moruk.ai,53d,22.x
moruk-template-landing,https://template.moruk.ai,123d,22.x
devutil-ai,https://devutil.ai,124d,22.x
crashlinks.com,https://crsh.link,124d,22.x
wizbuddy.ai,https://wizbuddy.ai,129d,22.x
dogdoctor.app,https://dogdoctor.app,129d,22.x
crystal-mom,https://crystal-mom.vercel.app,155d,22.x
tarot-doctor,https://tarot-doctor.vercel.app,155d,22.x
fatih.sh,https://fatih.sh,166d,22.x
